month,year,place,numOfEarthquakes
1,2018,CA,63
2,2018,CA,63
3,2018,CA,61
4,2018,CA,62
5,2018,CA,71
6,2018,CA,56
7,2018,CA,40
8,2018,CA,61
9,2018,CA,46
10,2018,CA,53
11,2018,CA,57
12,2018,CA,59
1,2018,Nevada,4
2,2018,Nevada,6
3,2018,Nevada,2
4,2018,Nevada,7
5,2018,Nevada,7
6,2018,Nevada,4
7,2018,Nevada,6
8,2018,Nevada,4
9,2018,Nevada,6
10,2018,Nevada,6
11,2018,Nevada,5
12,2018,Nevada,8
1,2018,Idaho,7
2,2018,Idaho,4
3,2018,Idaho,3
4,2018,Idaho,3
5,2018,Idaho,4
6,2018,Idaho,2
7,2018,Idaho,5
8,2018,Idaho,2
9,2018,Idaho,4
10,2018,Idaho,1
11,2018,Idaho,9
12,2018,Idaho,3
1,2019,CA,65
2,2019,CA,76
3,2019,CA,59
4,2019,CA,64
5,2019,CA,64
6,2019,CA,76
7,2019,CA,2379
8,2019,CA,203
9,2019,CA,112
10,2019,CA,111
11,2019,CA,116
12,2019,CA,90
1,2019,Nevada,5
2,2019,Nevada,12
3,2019,Nevada,10
4,2019,Nevada,19
5,2019,Nevada,16
6,2019,Nevada,14
7,2019,Nevada,8
8,2019,Nevada,4
9,2019,Nevada,8
10,2019,Nevada,6
11,2019,Nevada,10
12,2019,Nevada,10
1,2019,Idaho,0
2,2019,Idaho,2
3,2019,Idaho,1
4,2019,Idaho,5
5,2019,Idaho,9
6,2019,Idaho,2
7,2019,Idaho,5
8,2019,Idaho,4
9,2019,Idaho,4
10,2019,Idaho,0
11,2019,Idaho,0
12,2019,Idaho,3
1,2020,CA,78
2,2020,CA,69
3,2020,CA,75
4,2020,CA,158
5,2020,CA,93
6,2020,CA,157
7,2020,CA,78
8,2020,CA,102
9,2020,CA,93
10,2020,CA,215
11,2020,CA,0
12,2020,CA,0
1,2020,Nevada,6
2,2020,Nevada,7
3,2020,Nevada,9
4,2020,Nevada,9
5,2020,Nevada,763
6,2020,Nevada,197
7,2020,Nevada,85
8,2020,Nevada,42
9,2020,Nevada,33
10,2020,Nevada,24
11,2020,Nevada,0
12,2020,Nevada,0
1,2020,Idaho,4
2,2020,Idaho,0
3,2020,Idaho,2
4,2020,Idaho,487
5,2020,Idaho,135
6,2020,Idaho,97
7,2020,Idaho,62
8,2020,Idaho,44
9,2020,Idaho,36
10,2020,Idaho,37
11,2020,Idaho,0
12,2020,Idaho,0
