month,year,place,numOfEarthquakes
1,2014,CA,178
2,2014,CA,166
3,2014,CA,374
4,2014,CA,328
5,2014,CA,231
6,2014,CA,280
7,2014,CA,299
8,2014,CA,297
9,2014,CA,338
10,2014,CA,402
11,2014,CA,638
12,2014,CA,428
1,2015,CA,534
2,2015,CA,327
3,2015,CA,475
4,2015,CA,386
5,2015,CA,363
6,2015,CA,360
7,2015,CA,372
8,2015,CA,323
9,2015,CA,402
10,2015,CA,356
11,2015,CA,442
12,2015,CA,368
1,2016,CA,422
2,2016,CA,397
3,2016,CA,276
4,2016,CA,285
5,2016,CA,259
6,2016,CA,248
7,2016,CA,267
8,2016,CA,224
9,2016,CA,370
10,2016,CA,231
11,2016,CA,232
12,2016,CA,286
1,2017,CA,209
2,2017,CA,140
3,2017,CA,233
4,2017,CA,205
5,2017,CA,192
6,2017,CA,208
7,2017,CA,277
8,2017,CA,257
9,2017,CA,739
10,2017,CA,222
11,2017,CA,219
12,2017,CA,212
1,2018,CA,63
2,2018,CA,63
3,2018,CA,61
4,2018,CA,62
5,2018,CA,71
6,2018,CA,56
7,2018,CA,40
8,2018,CA,61
9,2018,CA,46
10,2018,CA,53
11,2018,CA,57
12,2018,CA,59
1,2019,CA,65
2,2019,CA,76
3,2019,CA,59
4,2019,CA,64
5,2019,CA,64
6,2019,CA,76
7,2019,CA,2379
8,2019,CA,203
9,2019,CA,112
10,2019,CA,111
11,2019,CA,116
12,2019,CA,90
1,2020,CA,78
2,2020,CA,69
3,2020,CA,75
4,2020,CA,158
5,2020,CA,93
6,2020,CA,157
7,2020,CA,78
8,2020,CA,102
9,2020,CA,93
10,2020,CA,215
11,2020,CA,0
12,2020,CA,0
