time,latitude,longitude,depth,mag,magType,magNst,0,1
2017-12-31T20:27:08.550Z,43.6479,-105.18,0.0,3.2,ml,38.0,Wyoming,
2017-12-31T20:19:23.120Z,43.6547,-105.1002,0.0,2.9,ml,50.0,Wyoming,
2017-12-31T19:49:06.270Z,40.4846667,-123.39,30.44,3.76,mw,3.0,19km WSW of Hayfork,CA
2017-12-31T19:09:31.700Z,36.1511,-97.6653,6.059,3.2,ml,,21km ENE of Hennessey,Oklahoma
2017-12-31T19:05:01.650Z,43.6615,-105.2913,0.0,3.3,ml,70.0,Wyoming,
2017-12-31T14:29:31.440Z,33.75,-117.54266670000001,5.68,2.6,ml,203.0,11km NNE of Trabuco Canyon,CA
2017-12-31T05:28:22.390Z,40.2838333,-124.41483329999998,19.44,2.98,ml,22.0,12km WSW of Petrolia,CA
2017-12-31T02:06:35.810Z,36.6563333,-121.28133329999999,5.87,2.51,md,78.0,15km SSE of Tres Pinos,CA
2017-12-30T23:46:11.940Z,37.2734,-104.8631,4.0,4.0,mwr,47.0,34km WNW of Trinidad,Colorado
2017-12-30T21:32:15.280Z,36.6533333,-121.2766667,6.35,2.7,md,92.0,16km SSE of Tres Pinos,CA
2017-12-30T19:45:04.010Z,36.655333299999995,-121.2805,5.94,2.53,md,72.0,15km SSE of Tres Pinos,CA
2017-12-30T18:48:52.430Z,36.6558333,-121.28033329999998,6.33,2.97,md,102.0,15km SSE of Tres Pinos,CA
2017-12-30T16:39:17.950Z,36.655666700000005,-121.2795,5.32,2.8,md,74.0,15km SSE of Tres Pinos,CA
2017-12-30T15:51:46.000Z,35.0041,-97.6442,7.962999999999999,2.5,ml,,14km S of Blanchard,Oklahoma
2017-12-30T15:04:43.939Z,36.7301,-115.8986,7.0,2.6,ml,20.0,58km N of Pahrump,Nevada
2017-12-30T12:47:43.830Z,37.5741667,-118.8355,2.31,2.55,md,25.0,14km W of Toms Place,CA
2017-12-30T12:15:25.490Z,34.3155,-116.85066670000002,1.53,3.22,ml,321.0,6km N of Big Bear City,CA
2017-12-30T08:14:28.600Z,36.153,-97.6593,6.945,2.8,ml,,22km ENE of Hennessey,Oklahoma
2017-12-30T08:10:16.700Z,36.1531,-97.6638,7.58,2.9,ml,,21km ENE of Hennessey,Oklahoma
2017-12-30T04:38:07.190Z,46.153999999999996,-120.54266670000001,19.6,2.71,ml,3.0,30km SW of Toppenish,Washington
2017-12-30T04:15:11.600Z,36.7215,-121.3625,2.63,2.98,md,112.0,8km SSW of Tres Pinos,CA
2017-12-30T04:13:24.200Z,36.7203,-99.3909,6.216,3.2,ml,,24km ESE of Buffalo,Oklahoma
2017-12-29T22:14:25.200Z,36.2194,-97.2634,7.697,2.6,ml,,8km SSE of Perry,Oklahoma
2017-12-29T20:10:55.010Z,43.8968,-105.3998,0.0,3.0,ml,54.0,Wyoming,
2017-12-29T18:20:54.300Z,34.649666700000004,-116.32366670000002,3.31,2.83,ml,142.0,17km WSW of Ludlow,CA
2017-12-29T15:50:40.200Z,36.660166700000005,-121.287,7.06,2.84,md,77.0,15km SSE of Tres Pinos,CA
2017-12-29T15:21:33.940Z,36.6596667,-121.28466670000002,6.72,2.8,md,83.0,15km SSE of Tres Pinos,CA
2017-12-29T12:52:39.100Z,36.1544,-97.6646,5.361000000000001,2.5,ml,,21km ENE of Hennessey,Oklahoma
2017-12-29T10:27:05.700Z,36.1538,-97.6678,5.007,2.5,ml,,21km ENE of Hennessey,Oklahoma
2017-12-29T06:05:49.800Z,36.1541,-97.6685,5.0,2.6,ml,,21km ENE of Hennessey,Oklahoma
2017-12-29T06:03:26.900Z,36.1532,-97.6685,5.0,2.7,ml,,21km ENE of Hennessey,Oklahoma
2017-12-29T05:21:54.500Z,36.1554,-97.66799999999999,5.396,2.7,ml,,21km ENE of Hennessey,Oklahoma
2017-12-29T04:45:42.610Z,40.285166700000005,-124.5095,19.29,3.82,mw,3.0,20km WSW of Petrolia,CA
2017-12-29T04:45:00.000Z,36.1543,-97.671,5.644,3.8,mwr,29.0,21km ENE of Hennessey,Oklahoma
2017-12-28T23:08:31.990Z,46.705,-121.05933329999999,-0.16,2.93,ml,62.0,23km W of Tieton,Washington
2017-12-28T20:11:14.100Z,35.4215,-97.024,5.132999999999999,3.7,ml,,6km ESE of McLoud,Oklahoma
2017-12-28T11:39:50.670Z,36.6588333,-121.2858333,7.1,3.04,ml,30.0,15km SSE of Tres Pinos,CA
2017-12-28T08:57:16.470Z,36.6605,-121.28616670000001,6.42,2.51,md,78.0,15km SSE of Tres Pinos,CA
2017-12-28T08:54:13.140Z,36.659,-121.28416670000001,7.44,3.14,ml,34.0,15km SSE of Tres Pinos,CA
2017-12-28T08:51:13.590Z,47.0709,-76.2872,16.29,3.6,mb_lg,100.0,76km WNW of Ferme-Neuve,Canada
2017-12-28T07:59:51.840Z,46.9017,-112.5434,16.7,3.4,ml,46.0,12km ESE of Lincoln,Montana
2017-12-28T04:02:48.930Z,37.789666700000005,-113.281,9.64,2.97,ml,9.0,22km WNW of Cedar City,Utah
2017-12-28T02:37:30.860Z,36.68,-121.302,3.87,2.87,md,84.0,12km S of Tres Pinos,CA
2017-12-28T00:38:02.500Z,32.258,-115.27333329999999,23.01,2.71,ml,58.0,10km WNW of Alberto Oviedo Mota,"B.C., MX"
2017-12-28T00:22:45.330Z,36.6815,-121.3125,4.28,3.3,ml,37.0,12km S of Tres Pinos,CA
2017-12-27T23:50:37.560Z,31.1834,-103.3311,5.0,2.7,mb_lg,9.0,30km SSE of Pecos,Texas
2017-12-27T22:58:10.920Z,43.6957,-105.2819,0.0,3.2,ml,56.0,Wyoming,
2017-12-27T22:00:42.590Z,37.791166700000005,-113.27833329999999,6.18,2.74,ml,7.0,22km WNW of Cedar City,Utah
2017-12-27T21:52:37.040Z,37.7913333,-113.2755,7.11,2.65,ml,4.0,22km NW of Cedar City,Utah
2017-12-27T21:08:23.340Z,43.7916,-105.3129,0.0,3.1,ml,43.0,Wyoming,
2017-12-27T19:57:40.920Z,43.6538,-105.1731,0.0,3.3,ml,69.0,Wyoming,
2017-12-27T18:06:10.120Z,43.5499,-105.3057,0.0,3.3,ml,72.0,Wyoming,
2017-12-27T13:00:10.320Z,37.0231,-104.9621,6.76,2.8,ml,18.0,44km WSW of Trinidad,Colorado
2017-12-27T09:10:17.870Z,31.7983333,-115.88600000000001,17.07,2.64,ml,68.0,65km E of Maneadero,"B.C., MX"
2017-12-27T06:32:09.060Z,37.3965,-121.74683329999999,10.55,3.9,mw,4.0,8km ENE of Alum Rock,CA
2017-12-27T04:37:40.400Z,36.9086,-97.3513,1.682,2.6,ml,,13km NNW of Blackwell,Oklahoma
2017-12-27T03:22:08.300Z,36.8184,-97.6097,5.811,2.9,ml,,11km E of Medford,Oklahoma
2017-12-27T03:19:36.250Z,37.1105,-121.5176667,7.08,3.08,ml,43.0,9km ENE of San Martin,CA
2017-12-26T17:15:52.480Z,35.340166700000005,-83.867,9.45,2.74,md,25.0,5km WNW of Robbinsville,North Carolina
2017-12-26T07:46:56.400Z,36.5372,-98.9652,6.67,2.9,ml,,24km ENE of Mooreland,Oklahoma
2017-12-25T20:07:30.660Z,43.6443,-105.1159,0.0,3.2,ml,46.0,Wyoming,
2017-12-25T19:50:16.800Z,37.9806667,-122.07966670000002,13.63,2.72,md,116.0,0km SW of Pacheco,CA
2017-12-25T18:02:16.800Z,46.9005,-112.5256,13.28,3.0,ml,42.0,13km ESE of Lincoln,Montana
2017-12-25T06:42:57.930Z,36.001,-118.39333329999998,4.32,3.05,ml,234.0,28km N of Kernville,CA
